title,company,location,job_type,salary
Lead Data Scientist (m/w/d),AP Sensing GmbH,Böblingen bei Stuttgart,Teilweise Home-Office,58.000 - 79.000 €/Jahr  (geschätzt für Vollzeit)
Studentische Aushilfe (m/w/d) im Bereich Data Value Office am Flughafen Frankfurt,Fraport AG,Frankfurt am Main,,
AEM Technical Trainer,Adobe Systems Europe Limited,"Munich, Bavaria, Germany,Hamburg, Hamburg, Germany",,32.000 - 60.000 €/Jahr  (geschätzt für Vollzeit)
Praktikum im Bereich Qualitätsmanagement Konzeptqualität und Kundenerkenntnisse Neuproduktprojekte ab Februar 2025,Mercedes-Benz AG,Sindelfingen,Teilweise Home-Office,
Software Architect KI Künstliche Intelligenz (w/m/d),EagleBurgmann Germany GmbH & Co. KG,"Wolfratshausen nahe München, Eurasburg nahe München",Teilweise Home-Office,65.000 - 106.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium Wirtschaftsinformatik Schwerpunkt: Business Engineering,RTL2 Fernsehen GmbH & Co. KG,Grünwald bei München,Teilweise Home-Office,
Praktikum in der Entwicklung der Halbleitertechnologie - Schwerpunkt Naturwissenschaften (m/w/x),ZEISS,Oberkochen (Baden-Württemberg),,
Data Steward / Data Scientist (m/w/d),Technische Informationsbibliothek (TIB),Hannover,Teilweise Home-Office,48.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
Entwickler KI Künstliche Intelligenz (w/m/d),EagleBurgmann Germany GmbH & Co. KG,"Wolfratshausen nahe München,Eurasburg nahe München",Teilweise Home-Office,55.000 - 93.000 €/Jahr  (geschätzt für Vollzeit)
Praktikum Forschung & Entwicklung - Computer Vision & Image Machine Learning in Künzelsau,Würth Deutschland,Künzelsau,Teilweise Home-Office,
Abschlussarbeit/Pflichtpraktikum: Explainable AI für autonome maritime Systeme (m/w/d),ATLAS ELEKTRONIK GmbH,Bremen,,
Data Engineer Financial Decision Management (m/w/d),meinestadt.de,Neckarsulm,,55.000 - 72.000 €/Jahr  (geschätzt für Vollzeit)
Junior Managers Program – Forschung & Entwicklung Corporate Research - Traineeprogramm (w/m/div.),Bosch Gruppe,Gerlingen,Teilweise Home-Office,
Trainee im Bereich Digital- und Data-Transformation (m/w/d),REMONDIS Production Services GmbH,Lünen,,40.000 - 45.000 €/Jahr  (geschätzt für Vollzeit)
BI Engineer (m/w/d),dennree GmbH,Töpen (Raum Hof),Teilweise Home-Office,51.000 - 72.000 €/Jahr  (geschätzt für Vollzeit)
Wissenschaftliche*r Mitarbeiter*in (w/m/d) in der Informatik als Cloud Engineer in Teilzeit (50 %),Technische Hochschule Ulm,Ulm,Teilweise Home-Office,3.800 - 5.500 €/Monat  (geschätzt für Vollzeit)
Data Scientist im Bereich Nachhaltigkeit (m/w/d),REMONDIS Digital Services GmbH,Hamburg,Teilweise Home-Office,48.000 - 66.000 €/Jahr  (geschätzt für Vollzeit)
Data Engineer Financial Decision Management (m/w/d),Schwarz Corporate Solutions,Neckarsulm,,54.000 - 74.000 €/Jahr  (geschätzt für Vollzeit)
Pflichtpraktikum im eBusiness - Business Intelligence & Digital Analyst,Liebherr-Hausgeräte Ochsenhausen GmbH,Ulm,,
Graduate Program - Growing with Data (all gender) (m/w/d),KWS Group,Einbeck,Teilweise Home-Office,
Werkstudent für KI & Innovation (m/w/d),HIMA Paul Hildebrandt GmbH,Mannheim,Teilweise Home-Office,
"Werkstudent/in, studentische Aushilfe (m/w/d) für das Forschungsprojekt „RevolBRAS",HORIBA Europe GmbH,Oberursel,,
"Wissenschaftliche Mitarbeiterin bzw. Wissenschaftlicher Mitarbeiter (m/w/d) an der Professur für Erdbeobachtung, Fakultät für Luft- und Raumfahrttechnik",Universität der Bundeswehr München,Neubiberg,Teilweise Home-Office,52.800 - 76.700 €/Jahr  (geschätzt für Vollzeit)
Digital Technology Expert (f/m/x),ZEISS,München,,
wiss. Mitarbeiterin bzw. Mitarbeiter / Doktorandin bzw. Doktorand (m/w/d) Rechnerarchitektur,Technische Universität Dresden,Dresden,,4.188 - 4.748 €/Monat  (geschätzt für Vollzeit)
Werkstudent*in (m/f/d) Strategic Pricing,Cornelsen Verlag GmbH,Berlin,Teilweise Home-Office,
Duales Studium Wirtschaftsinformatik inkl. der Ausbildung zum Fachinformatiker für Daten- und Prozessanalyse (all genders),Consorsbank! by BNP PARIBAS,Nürnberg,Teilweise Home-Office,
Abschlussarbeit im Bereich IT ab Februar 2025,Mercedes-Benz AG,Böblingen,Teilweise Home-Office,
Entwickler für Datenerfassung von Umweltparametern (m/w/d),KWS Group,Einbeck,,49.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)
Backend-Entwickler:in (Python) (m/w/d) im Finanz- und KI-Bereich,BMS Corporate Solutions GmbH,"bundesweit, Home-Office",Teilweise Home-Office,44.000 - 57.000 €/Jahr  (geschätzt für Vollzeit)
Senior Cloud Data Engineer (m/w/d),Hays – Interne Karriere bei Uns,"Mannheim, Berlin, Frankfurt am Main, München, Stuttgart",Teilweise Home-Office,85.000 - 95.000 €/Jahr  (geschätzt für Vollzeit)
Werkstudent Marketing & Media Analytics - Data Scientist (m/w/d),REWE Group,Köln,,
Studium mit vertiefter Praxis (TH) - Informatik (m/w/d) 2025,Schaeffler Technologies AG & Co. KG,Schweinfurt,,
Spezialist HR-Controlling (m/w/d),DKB Service GmbH,"Berlin, Potsdam, München, Hamburg, Düsseldorf, Frankfurt, Stuttgart",Teilweise Home-Office,58.000 - 79.000 €/Jahr  (geschätzt für Vollzeit)
Data Scientist & AI Engineer (w|m|d),BridgingIT GmbH,"Berlin, Hamburg, Mannheim",Teilweise Home-Office,50.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)
Werkstudent*in IT,HPA - Hamburg Port Authority AöR,Hamburg,Teilweise Home-Office,
Abschlussarbeit im Bereich: Experimenteller Vergleich von DL Modellen anhand von Objektdetektion unter Wasser (m/w/d),ATLAS ELEKTRONIK GmbH,Bremen,,
Abschlussarbeit: Unsicherheiten in machine-learning-basierte Surrogatmodellen für die szenariobasierte Validierung autonomer Systeme (m/w/d),ATLAS ELEKTRONIK GmbH,Bremen,Teilweise Home-Office,
Consultant – Transaction Advisory Services (m/w/d),Grant Thornton AG Wirtschaftsprüfungsgesellschaft,"Berlin, Düsseldorf, Frankfurt, Hamburg, Stuttgart, München",,52.000 - 69.000 €/Jahr  (geschätzt für Vollzeit)
Associate Product Owner (m/w/d) Traineeprogramm,CHECK24,"Augsburg, Berlin, Düsseldorf, Frankfurt, Hamburg, Köln, Leipzig, München",,
Analytics Engineer (w/m/d),Hamburger Hochbahn AG,Hamburg,Teilweise Home-Office,
Abschlussarbeit: Systematische Literaturübersicht zu Szenarioselektionsmethoden und deren Eignung für die Validierung autonomer Systeme (m/w/d),ATLAS ELEKTRONIK GmbH,Bremen,Teilweise Home-Office,
Risikocontroller Governance & Reporting (m/w/d),DZ HYP,Hamburg,Teilweise Home-Office,80.000 - 90.000 €/Jahr  (geschätzt für Vollzeit)
Junior Information Security Professional (f/m/d),1&1 Mail & Media,Karlsruhe,Teilweise Home-Office,57.000 - 77.000 €/Jahr  (geschätzt für Vollzeit)
Corporate Academy Student (m/w/d) - Business Intelligence / Data Warehousing,Scalefree International GmbH,Hannover,,
Pflichtpraktikum: Entwicklung szenariobasierter Validierungsmethoden für autonome maritime Systeme (m/w/d),ATLAS ELEKTRONIK GmbH,Bremen,Teilweise Home-Office,
Senior AI Software Engineer (m/w/d),AVALOQ INNOVATION LTD.,Bioggio,Teilweise Home-Office,
Praktikant (m/w/d) Risk Management – Quantitatives Risikomanagement,Porsche Financial Services GmbH,Bietigheim-Bissingen,,
Hochschulpraktikum im Bereich Data Governance und Data Value Office,Fraport AG,Frankfurt am Main,,
"Junior Managers Program – HR – with a focus on HR tech, digitalization and generative AI - trainee program (f/m/div.)",Bosch Gruppe,Gerlingen,Teilweise Home-Office,
Data Scientist (m/w/d),Grimme Landmaschinenfabrik GmbH & Co. KG,Damme bei Osnabrück,Teilweise Home-Office,41.000 - 77.000 €/Jahr  (geschätzt für Vollzeit)
Data Scientist Risk Management Elektromobilität (w/m/d),EnBW mobility+ AG & Co. KG,Karlsruhe,Teilweise Home-Office,51.000 - 71.000 €/Jahr  (geschätzt für Vollzeit)
Data Engineer (m/w/d),Markant Gruppe,Offenburg,Teilweise Home-Office,58.000 - 78.000 €/Jahr  (geschätzt für Vollzeit)
Wissenschafltiche Mitarbeit (m/w/d) am Institut für Softwaretechnik im Fachbereich 4: Informatik,Universität Koblenz,Koblenz,,57.800 - 71.400 €/Jahr  (geschätzt für Vollzeit)
AI & Data Science Consultant (m/w/d),twomynds GmbH,Bonn,Teilweise Home-Office,46.000 - 64.000 €/Jahr  (geschätzt für Vollzeit)
Trainee (m/w/d) Digitales Produktmanagement Hotel Spanien,CHECK24,Münster,Teilweise Home-Office,
Inhouse Business Intelligence Consultant (m/w/d),Waldemar Link GmbH & Co. KG,Norderstedt,,70.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Data Solutions Specialist (m/w/d),BUDNI Handels- und Service GmbH & Co. KG,Hamburg,,47.000 - 66.000 €/Jahr  (geschätzt für Vollzeit)
IT-System Developer in Research Data Management (m/f/d),Leibniz-Rechenzentrum (LRZ) der Bayerischen Akademie der Wissenschaften,Garching bei München,Teilweise Home-Office,
Master@BWI: Duales Studium M.Sc. Business Consulting & Digital Management – IT Infrastruktur (m/w/d),BWI GmbH,"Bonn, Berlin, Meckenheim",Teilweise Home-Office,
Praktikum im Bereich E-Commerce & Digital Sales Analytics,ANDREAS STIHL AG & Co. KG,Waiblingen bei Stuttgart,Teilweise Home-Office,
Werkstudent (m/w/d) im Bereich Operations,DZ BANK AG,Frankfurt am Main,Teilweise Home-Office,
System Analyst - ERP-System / Python-Django / SQL (m/w/d),Fernco GmbH,Eschwege,,42.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
PhD Position – Hybrid Quantum Computing for Earth Observation,Forschungszentrum Jülich GmbH,Jülich bei Köln,Teilweise Home-Office,4.628 - 6.635 €/Monat  (geschätzt für Vollzeit)
Data Engineer (m/w/d),TenneT TSO GmbH,"Bayreuth, Dachau, Lehrte bei Hannover",Teilweise Home-Office,79.700 - 113.000 €/Jahr  (geschätzt für Vollzeit)
Werkstudent in der Entwicklung der Halbleitertechnologie - Schwerpunkt Naturwissenschaften (m/w/x),ZEISS,Oberkochen (Baden-Württemberg),,
Data Scientist (m/w/d) Smart Process Automation,Generali Deutschland AG,bundesweit,,57.500 - 78.500 €/Jahr  (geschätzt für Vollzeit)
Senior Analytics Engineer (m/f/d),Hapag-Lloyd AG,Hamburg,Teilweise Home-Office,61.000 - 83.000 €/Jahr  (geschätzt für Vollzeit)
Quereinsteiger Physiker / Mathematiker als Software Engineer Data Analytics (mwd),HMS Analytical Software GmbH,"Heidelberg, Remote",Teilweise Home-Office,30.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
Consultant Künstliche Intelligenz / Artificial Intelligence Energy (m/w/d),Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",Teilweise Home-Office,58.000 - 72.000 €/Jahr  (geschätzt für Vollzeit)
UX Designer (Büro & Homeoffice) (m/w/d),The Pampered Chef Deutschland GmbH,Raunheim,Teilweise Home-Office,55.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
"IT-Projektmanager Produktentwicklung KI & Mobility GPT (m/w/d) - Informatiker, Data Scientist, AI Engineer o. ä.",Rheinbahn AG,Düsseldorf,Teilweise Home-Office,57.000 - 78.000 €/Jahr  (geschätzt für Vollzeit)
(Junior) Data Scientist (m/w/d) im Bereich KI Competence Center (in Voll- oder Teilzeit),Union Investment,Frankfurt am Main,Teilweise Home-Office,49.000 - 72.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium (DHBW) - Wirtschaftsinformatik Application Management (m/w/d) 2025,Schaeffler Technologies AG & Co. KG,Herzogenaurach,,
Sustainability Expert for Digital Tools & Applications - Packaging & Circularity (d/f/m),Henkel AG & Co. KGaA,Düsseldorf,Teilweise Home-Office,70.000 - 103.000 €/Jahr  (geschätzt für Vollzeit)
"Junior / Senior IT Engineers (m/w/d), Informatiker / Ingenieure (m/w/d) (Bachelor [FH]), Fachinformatiker / IT-Systemelektroniker (m/w/d)",Bayerisches Landeskriminalamt,Königsbrunn,,34.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium (DHBW) - Wirtschaftsinformatik Sales & Consulting (m/w/d) 2025,Schaeffler Technologies AG & Co. KG,Herzogenaurach,,
Data Scientist (mwd),HMS Analytical Software GmbH,"Heidelberg, Berlin, Ulm",Teilweise Home-Office,55.000 - 73.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium (DHBW) - Cyber Security (m/w/d) 2025,Schaeffler Technologies AG & Co. KG,Herzogenaurach,Teilweise Home-Office,
Junior Managers Program - Business Intelligence und Analytics - Trainee Program (f/m/div.),Bosch Gruppe,Gerlingen,Teilweise Home-Office,51.000 - 78.000 €/Jahr  (geschätzt für Vollzeit)
Consultant AI & Analytics Transaction Services (w/m/d),PwC,"Düsseldorf, München, Frankfurt",Teilweise Home-Office,
Duales Studium (TH) inkl. Ausbildung (IHK) - Informatik (m/w/d) 2025,Schaeffler Technologies AG & Co. KG,Herzogenaurach,,
Duales Studium (DHBW) - Wirtschaftsinformatik Software Engineering (m/w/d) 2025,Schaeffler Technologies AG & Co. KG,Herzogenaurach,Teilweise Home-Office,
Consultant Telecommunications (m/w/d),Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",Teilweise Home-Office,59.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)
Consultant Data Analytics (m/w/d),expertum GmbH,"Waldenburg, Württemberg",,64.000 - 85.000 €/Jahr  (geschätzt für Vollzeit)
Wissenschaftlicher Mitarbeiter im Bereich Differentielle Psychologie und Psychologische Diagnostik (m/w/d),Hochschulen Fresenius gemeinnützige Trägerges. mbH,München,Teilweise Home-Office,45.000 - 64.000 €/Jahr  (geschätzt für Vollzeit)
Laboringenieur*in im Bereich Virtuelle Infrastruktur für Big Data und Künstliche Intelligenz - Kennziffer: 418/2024 I,Hochschule Darmstadt,Darmstadt,,49.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
Data Engineer (Microsoft Fabrics) (m/w/d),kloeckner.i GmbH,"Berlin, Düsseldorf",Teilweise Home-Office,52.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
Assistant Manager Excess Inventory-TEMP until 31.12.2026,adidas AG,Herzogenaurach,,
Trainee Data Scientist Personen-Rückversicherung,Hannover Rück SE,Hannover,Teilweise Home-Office,
Informatiker / Wirtschaftsinformatiker (m/w/d) als AWS Cloud Infrastructure Engineer,Scheidt & Bachmann Energy Retail Solutions GmbH,Mönchengladbach bei Düsseldorf,Teilweise Home-Office,46.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
IT-Architekt als (Junior) Consultant IT Strategie / Cloud-Lösungen (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,"Hannover, Leipzig, Bielefeld, Bremen, Essen, Mannheim, Mainz",Teilweise Home-Office,
IT-Architekt als (Junior) Consultant IT Strategie / Cloud-Lösungen (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,"Berlin, München, Köln, Hamburg, Frankfurt, Stuttgart, Düsseldorf",Teilweise Home-Office,
Big Data Architect (m/w/d),Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",Teilweise Home-Office,72.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium Wirtschaftsinformatik (Kooperation mit FHDW) (m/w/d),abcfinance GmbH,Köln,,
Duales Studium Wirtschaftsinformatik 2025 (w/m/d),Deutsche Bahn AG,Frankfurt (Main),Teilweise Home-Office,
Data Engineer (all genders),PRODYNA SE,"Berlin, Düsseldorf, Frankfurt am Main, Hamburg, München, Stuttgart",Teilweise Home-Office,54.000 - 77.000 €/Jahr  (geschätzt für Vollzeit)
Customer Development Specialist (w/m/d),ING Deutschland,Frankfurt am Main,,53.000 - 77.000 €/Jahr  (geschätzt für Vollzeit)
"Data Analyst (m/w/d) Berlin, Hamburg, Munich",1komma6 - Multimediale Dienstleistungen GmbH,Berlin,Teilweise Home-Office,38.000 - 51.000 €/Jahr  (geschätzt für Vollzeit)
Data Science and Machine Learning Engineer,Feniska UG (haftungsbeschränkt),Berlin,,47.000 - 66.000 €/Jahr  (geschätzt für Vollzeit)
AI Solutions Architect Banking (m/w/d),Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",Teilweise Home-Office,72.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)
IT-Traineeprogramm (d/w/m),Versicherungskammer Bayern,München,Teilweise Home-Office,
IT-Traineeprogramm (d/w/m),Saarland Versicherungen,Saarbrücken,Teilweise Home-Office,
(Junior) Financial Analyst (m/w/d) - Heidelberg,tts GmbH,Heidelberg,Teilweise Home-Office,44.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
Junior Machine Learning Consultant (m/w/d),Reply,"München, Berlin, Leipzig, Bremen, Innsbruck, Kufstein",Teilweise Home-Office,54.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
SAP Inhouse Consultant (m/w/d) (Data-Analyst/in),Zoiss Engineering GmbH,Schopfheim,,46.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
"Mathematiker, Informatiker, Naturwissenschaftler für Industrie und Forschung / Research Manager (m/w/d)",TWT GmbH Science & Innovation,"Stuttgart, München, Ingolstadt",Teilweise Home-Office,54.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
Praktikant Wirtschaftsprüfung im Bereich Banken - Assurance (Financial Services) (w/m/d),EY Deutschland,"Düsseldorf, Hannover, Frankfurt/Main, Hamburg, Köln, München, Stuttgart",Teilweise Home-Office,
Data Science Engineer*in (m/w/d) at etalytics GmbH - baito,etalytics GmbH,"Frankfurt am Main, Deutschland",Teilweise Home-Office,
Praktikant Wirtschaftsprüfung im Bereich Wealth & Asset Management (Financial Services) (w/m/d),EY Deutschland,"Düsseldorf, Frankfurt/Main, Hamburg, München",Teilweise Home-Office,
Werkstudent (m/w/d) User Research,DER SPIEGEL GmbH & Co. KG,Hamburg,Teilweise Home-Office,
Wissenschaftliche Mitarbeiter (w/m/d) mit Promotionsziel im Bereich KI in der Produktion,Technische Hochschule Augsburg,Nördlingen,Teilweise Home-Office,
Junior Data Analyst (w/m/d) (Data-Analyst/in),companion Strategieberatung GmbH,Berlin,Teilweise Home-Office,37.000 - 54.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst (m/w/d) Pricing,DocMorris Holding GmbH,Berlin,Teilweise Home-Office,39.000 - 56.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst (m/f/d),PAUL Tech AG,Mannheim,,39.000 - 54.000 €/Jahr  (geschätzt für Vollzeit)
Junior Managers Program – Research & Development Corporate Research - Trainee program (m/f/div.),Bosch Gruppe,Gerlingen,Teilweise Home-Office,48.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Informatiker / Specialist (m/w/d) IT Security,Diehl Stiftung & Co. KG,Nürnberg,,51.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst (all genders) - fully remote within Germany,AIPERIA GmbH,Deutschland - Remote,Teilweise Home-Office,38.000 - 52.000 €/Jahr  (geschätzt für Vollzeit)
(Junior) Digital Data Analyst (m/w/d) (Remote),PsyCommerce Inh. Maximilian Lohse,Bielefeld,Teilweise Home-Office,37.000 - 58.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium Wirtschaftsinformatik / Angewandte Informatik / Business Informatics (w/m/d),EY Deutschland,"Frankfurt/Main, Stuttgart, Hamburg",Teilweise Home-Office,
Data Engineer (m/w/d),solvistas GmbH,"Berlin, Linz, Wien",,50.000 - 55.000 €/Jahr  (geschätzt für Vollzeit)
NGS Data Analyst for Molecular Oncology,Alacris Theranostics GmbH,Berlin,,
Data Manager in Clinical Studies in Ophthalmology (f/m/d) (Data-Analyst/in),targomed GmbH,Bruchsal,Teilweise Home-Office,43.000 - 61.000 €/Jahr  (geschätzt für Vollzeit)
System Administrator Linux (m/w/d) mit Schwerpunkt Infrastruktur,index Internet und Mediaforschung GmbH,Berlin,Teilweise Home-Office,50.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Project Manager Data Integration / Analytics / Data Lake,DER Touristik Deutschland GmbH,"Frankfurt am Main, Köln",Teilweise Home-Office,54.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Marketing Reporting Analyst - Germany (Data-Analyst/in),Sungrow Deutschland GmbH,München,,49.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)
Working Student Data Analyst (x/f/m),Puls Technologies GmbH,Berlin,,
Duales Studium Wirtschaftsinformatik an der DHSH in Kiel,Duale Hochschule Schleswig-Holstein (DHSH),Kiel,,
Data Engineer (m/w/d),Carglass GmbH,Köln,Teilweise Home-Office,55.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
"Data Analyst (m/w/d) Berlin, Hamburg, Munich",1komma6 - Multimediale Dienstleistungen GmbH,Berlin,Teilweise Home-Office,39.000 - 55.000 €/Jahr  (geschätzt für Vollzeit)
UX Designer (m/f/d),Liebherr-Digital Development Center GmbH,Ulm,Teilweise Home-Office,41.000 - 58.000 €/Jahr  (geschätzt für Vollzeit)
Online Data Analyst - German speaking,TELUS Digital Leipzig c/o TELUS International Germany GmbH,Berlin,,36.000 - 50.000 €/Jahr  (geschätzt für Vollzeit)
Backendentwickler / Devicemanager (m/w/d),VIVAVIS AG,"Koblenz, Ettlingen",,50.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
IT Expert (m/w/d),d-fine GmbH,"Berlin, Düsseldorf, Frankfurt am Main",Teilweise Home-Office,51.000 - 76.000 €/Jahr  (geschätzt für Vollzeit)
Teamleiter (m/w/d) Controlling mit BI Fokus InsurTech,CHECK24,Frankfurt,Teilweise Home-Office,95.000 - 122.000 €/Jahr  (geschätzt für Vollzeit)
Senior Data Scientist (m/w/d),Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien",Teilweise Home-Office,63.000 - 94.000 €/Jahr  (geschätzt für Vollzeit)
Product Owner (m/w/d),Allianz Kunde und Markt GmbH,Unterföhring (bei München),,
Werkstudent oder Praktikant (d/m/w) Versicherungsmathematik,Meyerthole Siems Kohlruss Ges. für aktuarielle Beratung mbH,Köln,,
Analytics Engineer (w/m/d),Lotum GmbH,Bad Nauheim,Teilweise Home-Office,51.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
Product Owner & Analytics (m/w/d),Studienkreis GmbH,Bochum,Teilweise Home-Office,55.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Cyber Security Engineer (w/m/d),Bauer Media Group,"bundesweit, Home-Office",Teilweise Home-Office,61.000 - 87.000 €/Jahr  (geschätzt für Vollzeit)
Abteilungsassistenz für Management / Administration (m/w/d),Medizinische Fakultät Heidelberg,Heidelberg,,
Softwareentwickler Java (m/w/d),VIVAVIS AG,Ettlingen,,40.000 - 60.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Community Development Manager IPAI (m/w/d),Schwarz Corporate Solutions,Heilbronn,,42.000 - 64.000 €/Jahr  (geschätzt für Vollzeit)
Student Recruitment Manager (gn*),Kühne Logistics University gGmbH,Hamburg,Teilweise Home-Office,42.000 - 64.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Data Scientist Health Data Lab (w/m/d),GWQ ServicePlus AG,Düsseldorf,Teilweise Home-Office,49.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
BI Frontend Entwickler (w/m/d),Cordes & Graefe KG,Stuhr,,40.000 - 60.000 €/Jahr  (geschätzt für Vollzeit)
Energiemanager*in (m/w/d) zunächst befristet in Teilzeit mit 20 Wochenstunden,meinestadt.de,Neuried Kr. München,,
Programm-Manager Machine Learning & AI (w/m/d),HUK-COBURG Versicherungsgruppe,Coburg,,69.000 - 91.000 €/Jahr  (geschätzt für Vollzeit)
Pharmaberater/Pharmareferenten bzw. Medizinprodukteberater (m/w/d) Bereich Diabetes bundesweit zum nächstmöglichen Termin,IQVIA CSMS GmbH,bundesweit,,71.000 - 90.000 €/Jahr  (geschätzt für Vollzeit)
Junior Managers Program - Business Intelligence und Analytics - Traineeprogramm (w/m/div.),Bosch Gruppe,Gerlingen,,
Senior Python- & SQL-Entwickler (m/w/d),S-Communication Services GmbH,Berlin,Teilweise Home-Office,
Techniker (m/w/d) Projektabwicklung Leit- und Fernwirktechnik,VIVAVIS AG,"Berlin, Bochum",,50.000 - 60.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Manager AI & Data Analytics (f/m/d),PAUL HARTMANN AG,Heidenheim,Teilweise Home-Office,80.000 - 109.000 €/Jahr  (geschätzt für Vollzeit)
Data Manager - Credit Risk (m/f/d),Lloyds Bank – Bank of Scotland,Berlin,Teilweise Home-Office,60.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
Head of Business Intelligence (m/w/d),enthus,"Berlin, Böblingen bei Stuttgart, Sennfeld bei Schweinfurt",Teilweise Home-Office,92.000 - 125.000 €/Jahr  (geschätzt für Vollzeit)
Laborleitung (m/w/d) Business Innovation Lab,Duale Hochschule Baden-Württemberg Lörrach,Lörrach,Teilweise Home-Office,4.600 - 5.800 €/Monat  (geschätzt für Vollzeit)
Junior Product Manager | Navigation otto.de (w/m/d),Otto (GmbH & Co KG),Hamburg,Teilweise Home-Office,42.000 - 63.000 €/Jahr  (geschätzt für Vollzeit)
Projektingenieur (m/w/d) Leittechnik,VIVAVIS AG,Ettlingen,,45.000 - 55.000 €/Jahr  (geschätzt für Vollzeit)
Working Student (m/w/d)- Data Analytics,ODDO BHF SE,Frankfurt am Main,,
Projektleiter AdOperations Retail Media (m/w/d),meinestadt.de,Neckarsulm,,55.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
"Business Analyst, Seller Partner Trust & Compliance",Amazon Europe Core,Luxembourg,,
Head of HR Data Analytics & Controlling (m/w/x),ZEISS,"Oberkochen (Baden-Württemberg), Berlin",,
Senior-Expert*in für KI-Prüfverfahren,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme IAIS,Sankt Augustin,,2.780 - 4.680 €/Monat  (geschätzt für Vollzeit)
HR Specialist (m/w/d) – Global Mobility (Social Security Focus),d-fine GmbH,Frankfurt am Main,Teilweise Home-Office,50.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Data Engineer (all genders),ParshipMeet Group,"Hamburg, Dresden, Berlin",,
Stellv. Abteilungsleiter*in für Forschung und Zertifizierung (m/w/d),Fogra Forschungsinstitut für Medientechnologien e.V.,Aschheim b. München,Teilweise Home-Office,59.000 - 91.000 €/Jahr  (geschätzt für Vollzeit)
Verfahrensingenieur* als Customer Support Manager – Steam Cracker,Schmidt + Clemens GmbH + Co. KG,Lindlar,Teilweise Home-Office,46.000 - 64.000 €/Jahr  (geschätzt für Vollzeit)
Datenexpert:in Datenmanagement (d/m/w),Meyerthole Siems Kohlruss Ges. für aktuarielle Beratung mbH,Köln,Teilweise Home-Office,33.000 - 49.000 €/Jahr  (geschätzt für Vollzeit)
"Data Scientist II, Inflow and Capacity Optimization, Operations Risk Compliance",Amazon Europe Core,Luxemburg,,56.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)
Juristische*r Sachbearbeiter*in (m/w/d),Duale Hochschule Baden-Württemberg Heilbronn,Heilbronn,Teilweise Home-Office,3.850 - 5.580 €/Monat  (geschätzt für Vollzeit)
Business Intelligence Head (d/f/m),Henkel AG & Co. KGaA,Düsseldorf,Teilweise Home-Office,
